rank,name,address,type,ca_name,placement_score,need,reach,recent_deaths_400m,nearest_nax_km,blight_score,hardship,transit_adjacent
324,"BREAKTHROUGH, THE BRIDGE CAFE",3219 W CARROLL AVE 1ST,Corner store / food mart,EAST GARFIELD PARK,15.8,10.6,1.5,7,0.71,18.6,83,True
325,ETC. GRILL,2674 W MADISON ST 1,Corner store / food mart,EAST GARFIELD PARK,15.8,10.6,1.5,7,1.05,18.6,83,True
326,COMMUNITY FOOD MART,8211 S ASHLAND AVE,Corner store / food mart,AUBURN GRESHAM,15.7,15.7,1.0,10,1.41,39.4,74,False
327,J & J FOOD & LIQUOR,2422 W MARQUETTE RD 1,Corner store / food mart,CHICAGO LAWN,15.7,15.7,1.0,10,1.54,34.7,80,False
328,ABEER FISH MARKET,6307 S RICHMOND ST,Corner store / food mart,CHICAGO LAWN,15.7,15.7,1.0,10,0.65,34.7,80,False
329,PEPES MEXICAN  MEXICAN RESTAURANT,6230 S WESTERN AVE,Corner store / food mart,CHICAGO LAWN,15.7,15.7,1.0,10,1.28,34.7,80,False
330,ALDI #70,7627 S ASHLAND AVE 1,Corner store / food mart,AUBURN GRESHAM,15.7,15.7,1.0,10,0.79,39.4,74,False
331,ABU JENNA INC.,135 S PULASKI RD 1ST,Corner store / food mart,WEST GARFIELD PARK,15.7,15.7,1.0,33,0.06,24.7,92,False
332,JACKSON PARK HOSPITAL,7531 S STONY ISLAND AVE  264,Corner store / food mart,SOUTH SHORE,15.5,15.5,1.0,11,1.28,26.8,55,False
333,MELON EXPRESS CATERING CO,7108 S OGLESBY AVE,Corner store / food mart,SOUTH SHORE,15.5,15.5,1.0,11,0.51,26.8,55,False
334,DUNKIN DONUTS / BR,7019 S STONY ISLAND AVE 1,Corner store / food mart,SOUTH SHORE,15.5,15.5,1.0,11,1.32,26.8,55,False
335,Popeye's#835,3457 W ROOSEVELT RD,Corner store / food mart,NORTH LAWNDALE,15.4,15.4,1.0,16,0.3,31.5,87,False
336,FRATERNITE NOTRE DAME INC,502 N CENTRAL AVE,Corner store / food mart,AUSTIN,15.3,10.2,1.5,21,0.06,50.4,73,True
337,TRUDY'S FAMILY GROCERY,1428 S KEDZIE AVE,Corner store / food mart,NORTH LAWNDALE,15.3,15.3,1.0,10,0.48,31.5,87,False
338,H & H FOOD MART,6700 S RHODES AVE 1ST,Corner store / food mart,WOODLAWN,15.1,15.1,1.0,11,0.91,17.2,58,False
339,FIVE LOAVES EATERY TOO,405 E 75TH ST 1ST,Corner store / food mart,GREATER GRAND CROSSING,15.1,15.1,1.0,10,0.82,35.0,66,False
340,DEBORAH SCOTT,1359 S KARLOV AVE,Corner store / food mart,NORTH LAWNDALE,15.1,15.1,1.0,10,0.47,31.5,87,False
341,CHICAGO WINGZ AROUND THE WORLD,557 E 75TH ST 1ST,Corner store / food mart,GREATER GRAND CROSSING,15.1,15.1,1.0,10,0.9,35.0,66,False
342,M'S,6717 S SOUTH CHICAGO AVE,Corner store / food mart,WOODLAWN,15.1,15.1,1.0,11,1.06,17.2,58,False
343,FAIR FOOD MART,133 E 69TH ST 1ST,Corner store / food mart,GREATER GRAND CROSSING,15.1,15.1,1.0,10,1.32,35.0,66,False
344,JOHN LIQUORS,260-264 N PULASKI RD 1ST,Corner store / food mart,WEST GARFIELD PARK,15.0,10.0,1.5,21,0.07,24.7,92,True
345,SARAH FOOD & LIQUOR,6008 S ASHLAND AVE,Liquor / package goods,WEST ENGLEWOOD,15.0,16.6,0.9,9,0.7,80.9,89,False
346,WALGREENS #05034,6315 S KEDZIE AVE 1ST,Corner store / food mart,CHICAGO LAWN,14.9,14.9,1.0,12,0.39,34.7,80,False
347,S.B.M. FOODS,1825 W 59TH ST,Corner store / food mart,WEST ENGLEWOOD,14.8,14.8,1.0,8,0.85,80.9,89,False
348,KNA FOOD & LIQUOR,2001 W MARQUETTE RD 1,Corner store / food mart,WEST ENGLEWOOD,14.8,14.8,1.0,8,0.91,80.9,89,False
349,HAROLD'S CHICKEN SHACK,5608-5610 S ASHLAND AVE 1ST,Corner store / food mart,WEST ENGLEWOOD,14.8,14.8,1.0,8,0.85,80.9,89,False
350,Wolcott Food,6601 S WOLCOTT AVE,Corner store / food mart,WEST ENGLEWOOD,14.8,14.8,1.0,8,0.63,80.9,89,False
351,A AND L VARIETY SHOP,6800 S DAMEN AVE 1,Corner store / food mart,WEST ENGLEWOOD,14.8,14.8,1.0,8,1.08,80.9,89,False
352,ROSELAND FOOD & LIQUOR,3407 W MADISON ST,Corner store / food mart,EAST GARFIELD PARK,14.7,14.7,1.0,12,0.41,18.6,83,False
353,PANADERIA TORRES BAKERY,3111 W 63RD ST,Corner store / food mart,CHICAGO LAWN,14.7,14.7,1.0,12,0.39,34.7,80,False
354,CHAS GROCERIES,5249 W CHICAGO AVE 1 1,Corner store / food mart,AUSTIN,14.6,14.6,1.0,9,0.8,50.4,73,False
355,THE AVE FOOD MART,5851 W CHICAGO AVE,Corner store / food mart,AUSTIN,14.6,14.6,1.0,9,0.82,50.4,73,False
356,FERDINAND FOOD,4956 W FERDINAND ST,Corner store / food mart,AUSTIN,14.6,14.6,1.0,9,0.66,50.4,73,False
357,A.A.A. FOOD AND MINI MART,5300 W HARRISON ST,Corner store / food mart,AUSTIN,14.6,14.6,1.0,9,1.46,50.4,73,False
358,NEW A CHAU,5015 W NORTH AVE,Corner store / food mart,AUSTIN,14.6,14.6,1.0,9,0.85,50.4,73,False
359,NEIGHBORHOOD SUPERMARKET INC,5450 W HARRISON ST,Corner store / food mart,AUSTIN,14.6,14.6,1.0,9,1.66,50.4,73,False
360,"DAT LOCAL MART,",5540 W NORTH AVE 1 1,Corner store / food mart,AUSTIN,14.6,14.6,1.0,13,0.35,50.4,73,False
361,FOOD 4 LESS #567 FUEL CENTER,4821 W NORTH AVE 1,Gas / filling station,AUSTIN,14.6,14.6,1.0,9,0.85,50.4,73,False
362,AUGUSTA FOOD,5858 W AUGUSTA BLVD,Corner store / food mart,AUSTIN,14.6,14.6,1.0,9,1.2,50.4,73,False
363,MJ'S BARBQ,5501 W DIVISION ST 1 1,Corner store / food mart,AUSTIN,14.6,14.6,1.0,9,0.94,50.4,73,False
364,GENESIS ON THE AVENUE,5811 W CHICAGO AVE 1ST,Corner store / food mart,AUSTIN,14.6,14.6,1.0,9,0.74,50.4,73,False
365,A & W / LONG JOHN SILVERS,13 N LARAMIE AVE,Corner store / food mart,AUSTIN,14.6,14.6,1.0,9,1.29,50.4,73,False
366,ICE CREAM,1450 N CICERO AVE  Z,Corner store / food mart,AUSTIN,14.6,14.6,1.0,9,0.66,50.4,73,False
367,MEL-BAY GROCERY,4401 W CORTEZ ST,Corner store / food mart,HUMBOLDT PARK,14.4,14.4,1.0,9,0.96,34.9,85,False
368,Wishful Grocers,3220 W GRAND AVE 1,Liquor / package goods,HUMBOLDT PARK,14.4,16.0,0.9,10,0.51,34.9,85,False
369,3956 W NORTH AVE INC,1609 N PULASKI RD 1ST,Corner store / food mart,HUMBOLDT PARK,14.4,14.4,1.0,9,0.65,34.9,85,False
370,BILL'S PLACE RESTUARANT,4359 W DIVISION ST 1ST,Corner store / food mart,HUMBOLDT PARK,14.4,14.4,1.0,9,0.88,34.9,85,False
371,TAURUS EXPRESS,541 E 79TH ST 1ST,Corner store / food mart,CHATHAM,14.4,14.4,1.0,17,0.3,20.3,60,False
372,DOLLAR BARGAINS & GROCERY,4041 W NORTH AVE 1,Corner store / food mart,HUMBOLDT PARK,14.3,14.3,1.0,9,0.5,34.9,85,False
373,DANIEL'S FOOD & LIQUOR CORP,1659 S CALIFORNIA BLVD,Corner store / food mart,NORTH LAWNDALE,14.3,9.6,1.5,6,1.16,31.5,87,True
374,CATER-BIZ CHICAGO,4300 W LAKE ST 1 1,Corner store / food mart,WEST GARFIELD PARK,14.3,14.3,1.0,9,0.61,24.7,92,False
375,Fresh Way Market,3240 W ROOSEVELT RD 1,Liquor / package goods,NORTH LAWNDALE,14.3,15.9,0.9,15,0.33,31.5,87,False
376,JORDAN FOOD & LIQUOR,6301 S WENTWORTH AVE 1,Corner store / food mart,GREATER GRAND CROSSING,14.3,9.6,1.5,12,0.26,35.0,66,True
377,LAGUNITAS BREWING COMPANY,1843 S WASHTENAW AVE 1-2,Corner store / food mart,NORTH LAWNDALE,14.3,9.6,1.5,6,1.18,31.5,87,True
378,SUPER STEAK SUB,2737 W 63RD ST,Corner store / food mart,CHICAGO LAWN,14.2,14.2,1.0,9,0.98,34.7,80,False
379,EMAD M. ABDALLA,2347 W MARQUETTE RD,Corner store / food mart,CHICAGO LAWN,14.2,14.2,1.0,9,1.44,34.7,80,False
380,TAQUERIA EL BURRITO FELIZ INC,2850 W 63RD ST,Corner store / food mart,CHICAGO LAWN,14.2,14.2,1.0,9,0.74,34.7,80,False
381,LENORE'S KITCHEN,2447 W LITHUANIAN PLAZA CT,Corner store / food mart,CHICAGO LAWN,14.2,14.2,1.0,9,1.84,34.7,80,False
382,JOHNNIE'S PIZZA,6558 S WESTERN AVE 1,Corner store / food mart,CHICAGO LAWN,14.2,14.2,1.0,9,1.39,34.7,80,False
383,FISH UNLIMITED,1419 W 79TH ST 1ST,Corner store / food mart,AUBURN GRESHAM,14.1,14.1,1.0,9,0.89,39.4,74,False
384,J & J FISH & CHICKEN,6814 S STONY ISLAND AVE 1ST,Corner store / food mart,SOUTH SHORE,14.1,14.1,1.0,10,1.49,26.8,55,False
385,PEPES MEXICAN RESTAURANT,1901 W 79TH ST,Corner store / food mart,AUBURN GRESHAM,14.1,14.1,1.0,9,1.58,39.4,74,False
386,FISHERMAN'S iSLAND,8259 S ASHLAND AVE,Corner store / food mart,AUBURN GRESHAM,14.1,14.1,1.0,9,1.26,39.4,74,False
387,"SOUTH SHORE MINI PANTRY,INC.",7447 S SOUTH SHORE DR 1,Corner store / food mart,SOUTH SHORE,14.1,14.1,1.0,10,0.51,26.8,55,False
388,J'S FOOD MART,6500 S UNIVERSITY AVE,Corner store / food mart,WOODLAWN,13.8,13.8,1.0,10,0.77,17.2,58,False
389,FLAMING FRANKS,411 E 61ST ST,Corner store / food mart,WOODLAWN,13.8,13.8,1.0,10,0.8,17.2,58,False
390,B L MATTERS FOOD MARKET,3952 W MADISON ST 1ST FL UNIT A,Tobacco / vape,WEST GARFIELD PARK,13.8,19.7,0.7,39,0.16,24.7,92,False
391,ROSELAND PANTRY,10658 S MICHIGAN AVE 1ST,Corner store / food mart,ROSELAND,13.5,13.5,1.0,9,0.68,48.9,52,False
392,LEM'S BAR-B-Q,311 E 75TH ST,Corner store / food mart,GREATER GRAND CROSSING,13.5,13.5,1.0,9,0.86,35.0,66,False
393,MCDONALDS,6900 S LAFAYETTE AVE,Corner store / food mart,GREATER GRAND CROSSING,13.5,9.0,1.5,6,1.03,35.0,66,True
394,NEW HONG KONG,658 E 75TH ST 1,Corner store / food mart,GREATER GRAND CROSSING,13.5,13.5,1.0,9,0.76,35.0,66,False
395,ROSE FOOD MART INC.,11300 S WENTWORTH AVE 1,Corner store / food mart,ROSELAND,13.5,13.5,1.0,9,0.93,48.9,52,False
396,BABAS FAMOUS STEAK & LEMONADE,7100 S MICHIGAN AVE,Corner store / food mart,GREATER GRAND CROSSING,13.5,13.5,1.0,9,1.58,35.0,66,False
397,"JIMMY'S FAMILY FOOD, INC.",102 E 79TH ST 1ST,Corner store / food mart,GREATER GRAND CROSSING,13.5,9.0,1.5,6,0.56,35.0,66,True
398,MAJ CHAS L HUNT POST 2024 VFW,742 E 75TH ST 1ST,Corner store / food mart,GREATER GRAND CROSSING,13.5,13.5,1.0,9,0.65,35.0,66,False
399,PEPE'S TACO,2 E 112TH PL,Corner store / food mart,ROSELAND,13.5,13.5,1.0,9,0.64,48.9,52,False
400,ALAADIN'S GROCERY,1724 W 61ST ST 1ST,Corner store / food mart,WEST ENGLEWOOD,13.5,13.5,1.0,8,0.46,80.9,89,False
401,SOSA WIRELESS INC,1358 S TRIPP AVE 1ST,Corner store / food mart,NORTH LAWNDALE,13.4,13.4,1.0,10,0.42,31.5,87,False
402,"CINEMAS ENTERTAINMENT, LLC",3330 W ROOSEVELT RD,Corner store / food mart,NORTH LAWNDALE,13.2,13.2,1.0,17,0.24,31.5,87,False
403,MYRTLE'S KITCHEN,5800 W DIVISION ST,Corner store / food mart,AUSTIN,12.9,12.9,1.0,8,0.84,50.4,73,False
404,LANDMARK DELI & RESTAURANT / CHEZ ROUE,5200 W CHICAGO AVE,Corner store / food mart,AUSTIN,12.9,12.9,1.0,8,0.64,50.4,73,False
405,R & S GROCERY,559 N LARAMIE AVE  1,Corner store / food mart,AUSTIN,12.9,12.9,1.0,8,0.77,50.4,73,False
406,MOMENTUM COFFEE,5100 W HARRISON ST FIRST,Corner store / food mart,AUSTIN,12.9,12.9,1.0,8,1.31,50.4,73,False
407,SUBWAY,1608 W 59TH ST 1,Corner store / food mart,WEST ENGLEWOOD,12.9,12.9,1.0,7,0.92,80.9,89,False
408,"KIM FOOD, DELI & FAST FOOD",6558 S ASHLAND AVE 1ST,Corner store / food mart,WEST ENGLEWOOD,12.9,12.9,1.0,7,0.66,80.9,89,False
409,MEGA SOUL MEAL & SAND,5757 S ASHLAND AVE 1ST,Corner store / food mart,WEST ENGLEWOOD,12.9,12.9,1.0,7,1.02,80.9,89,False
410,R&B FOOD & CLOTHING STORE,5658 S LOOMIS BLVD 1ST 1A,Corner store / food mart,WEST ENGLEWOOD,12.9,12.9,1.0,7,0.61,80.9,89,False
411,DEE'S DELI,5254 W DIVISION ST 1 1,Corner store / food mart,AUSTIN,12.9,12.9,1.0,8,0.73,50.4,73,False
412,BIG TWENTY CLUB,4510 W HARRISON ST 1ST,Corner store / food mart,WEST GARFIELD PARK,12.7,12.7,1.0,8,1.03,24.7,92,False
413,KFC,7445 S STONY ISLAND AVE 1ST,Corner store / food mart,SOUTH SHORE,12.7,12.7,1.0,9,1.28,26.8,55,False
414,BURGER KING #8312,7222 S STONY ISLAND AVE,Corner store / food mart,SOUTH SHORE,12.7,12.7,1.0,9,1.16,26.8,55,False
415,AMERICAN SUB,1559 S KOSTNER AVE,Corner store / food mart,NORTH LAWNDALE,12.7,12.7,1.0,8,0.9,31.5,87,False
416,A.P. DELI INC. XI,1759 E 75TH ST 1,Corner store / food mart,SOUTH SHORE,12.7,12.7,1.0,9,1.44,26.8,55,False
417,79TH FRESH FOOD & MEAT MARKET,2900 E 79TH ST 1ST,Corner store / food mart,SOUTH SHORE,12.7,12.7,1.0,9,1.41,26.8,55,False
418,SOUTH CHICAGO SEAFOOD,1536 E 75TH ST,Corner store / food mart,SOUTH SHORE,12.7,12.7,1.0,9,1.18,26.8,55,False
419,PHILLIPS RIBS,5048 W CHICAGO AVE,Corner store / food mart,AUSTIN,12.6,12.6,1.0,10,0.39,50.4,73,False
420,EL LAR'S,8431 S COTTAGE GROVE AVE # 1ST,Corner store / food mart,CHATHAM,12.6,12.6,1.0,9,1.35,20.3,60,False
421,ARAMARK EDUCATIONAL SERVICES,1817 W 80TH ST,Corner store / food mart,AUBURN GRESHAM,12.5,12.5,1.0,8,1.57,39.4,74,False
422,GOURMET GORILLA,1132 S HOMAN AVE 1ST,Corner store / food mart,NORTH LAWNDALE,12.5,12.5,1.0,12,0.33,31.5,87,False
423,R & I VARIETY STORE,816 W 77TH ST,Corner store / food mart,AUBURN GRESHAM,12.5,12.5,1.0,8,0.86,39.4,74,False
424,MOE'S MINI MART,11134 S MICHIGAN AVE,Corner store / food mart,ROSELAND,12.3,12.3,1.0,10,0.41,48.9,52,False
425,63 FOOD,3301 W 63RD ST,Corner store / food mart,CHICAGO LAWN,12.3,12.3,1.0,10,0.39,34.7,80,False
426,EUREST DINING SERVICES,401 N CICERO AVE  1,Corner store / food mart,AUSTIN,12.1,8.1,1.5,5,0.82,50.4,73,True
427,ROSE-RIDGE FOODS,10500 S MICHIGAN AVE,Corner store / food mart,ROSELAND,12.0,12.0,1.0,8,1.03,48.9,52,False
428,SHOP-N-SAVE,135 E 71ST ST,Corner store / food mart,GREATER GRAND CROSSING,12.0,12.0,1.0,8,1.65,35.0,66,False
429,Englewood Grocery Food,7200 S WENTWORTH AVE,Corner store / food mart,GREATER GRAND CROSSING,12.0,12.0,1.0,8,1.59,35.0,66,False
430,CRIB FOOD & LIQUORS,7041 S WENTWORTH AVE,Corner store / food mart,GREATER GRAND CROSSING,12.0,12.0,1.0,8,1.31,35.0,66,False
431,MS. KING CANDY STORE AND RESTAURANT,423 E 111TH ST,Corner store / food mart,ROSELAND,12.0,12.0,1.0,8,0.5,48.9,52,False
432,M & J CHICKEN & FISH,7643 S COTTAGE GROVE AVE,Corner store / food mart,GREATER GRAND CROSSING,12.0,12.0,1.0,8,0.88,35.0,66,False
433,SIMPLY DELICIOUS CUISINE,340 W 113TH ST 1ST,Corner store / food mart,ROSELAND,12.0,12.0,1.0,8,1.24,48.9,52,False
434,"A.P. DELI RESTAURANT GROUP, INC.",10758 S MICHIGAN AVE 1ST,Corner store / food mart,ROSELAND,11.9,11.9,1.0,8,0.49,48.9,52,False
435,NATIONAL FOOD MART,1800 S PULASKI RD 1,Corner store / food mart,NORTH LAWNDALE,11.9,8.0,1.5,5,0.9,31.5,87,True
436,D &  D FRIED RICE INC,5107 W DIVISION ST,Corner store / food mart,AUSTIN,11.7,11.7,1.0,10,0.36,50.4,73,False
437,CITY FOOD,6059 S WOLCOTT AVE 1ST,Tobacco / vape,WEST ENGLEWOOD,11.7,16.6,0.7,9,0.51,80.9,89,False
438,LEONARDO'S CATERING SERVICE,4152 W LAKE ST,Corner store / food mart,WEST GARFIELD PARK,11.7,11.7,1.0,10,0.37,24.7,92,False
439,OCEAN BROASTED CHICKEN,33 N KEDZIE AVE 1ST,Corner store / food mart,EAST GARFIELD PARK,11.7,7.8,1.5,16,0.16,18.6,83,True
440,FLORIDA FOOD & LIQUOR,4201 W AUGUSTA BLVD,Liquor / package goods,HUMBOLDT PARK,11.5,12.8,0.9,8,1.29,34.9,85,False
441,BCQ RESTAURANT INC.,501 N KEDZIE AVE  A & B,Corner store / food mart,HUMBOLDT PARK,11.4,11.4,1.0,8,0.45,34.9,85,False
442,OHIO FOOD MART,5345 W OHIO ST,Corner store / food mart,AUSTIN,11.3,11.3,1.0,7,0.55,50.4,73,False
443,BEST FOOD,5751 W AUGUSTA BLVD 1ST,Corner store / food mart,AUSTIN,11.3,11.3,1.0,7,1.09,50.4,73,False
444,CENTRAL & DIVISION CITGO,1201 N CENTRAL AVE,Corner store / food mart,AUSTIN,11.3,11.3,1.0,7,0.87,50.4,73,False
445,RAY RAY FOOD MART,5401 W AUGUSTA BLVD 1ST,Corner store / food mart,AUSTIN,11.3,11.3,1.0,7,1.04,50.4,73,False
446,AARON'S BUFFALO WINGS,5410 W DIVISION ST,Corner store / food mart,AUSTIN,11.3,11.3,1.0,7,1.01,50.4,73,False
447,GREEN ACRES FOOD & LIQUOR,1636 N CICERO AVE,Corner store / food mart,AUSTIN,11.3,11.3,1.0,7,0.99,50.4,73,False
448,ICE CREAM ON AUSTIN,1613 N AUSTIN AVE 1ST,Corner store / food mart,AUSTIN,11.3,11.3,1.0,7,0.52,50.4,73,False
449,JERK MAN,7723 S STATE ST,Corner store / food mart,GREATER GRAND CROSSING,11.3,7.5,1.5,5,0.89,35.0,66,True
450,EXXON,1932 E 75TH ST,Corner store / food mart,SOUTH SHORE,11.3,11.3,1.0,8,1.19,26.8,55,False
451,Good Blessings Discount Store,2200 E 73RD ST,Corner store / food mart,SOUTH SHORE,11.3,11.3,1.0,8,0.63,26.8,55,False
452,THREE J'S BBQ & RESTAURANT,1713 E 75TH ST,Corner store / food mart,SOUTH SHORE,11.3,11.3,1.0,8,1.4,26.8,55,False
453,QUICK STOP FOOD MART,2226 E 79TH ST 1ST,Corner store / food mart,SOUTH SHORE,11.3,11.3,1.0,8,1.29,26.8,55,False
454,A P DELI,2025 E 75TH ST,Corner store / food mart,SOUTH SHORE,11.3,11.3,1.0,8,1.03,26.8,55,False
455,STARBUCKS COFFEE # 2624,7101 S STONY ISLAND AVE 1 1,Corner store / food mart,SOUTH SHORE,11.3,11.3,1.0,8,1.27,26.8,55,False
456,FAMILY DOLLAR STORE #7156,1441 E 75TH ST,Corner store / food mart,SOUTH SHORE,11.3,11.3,1.0,8,1.02,26.8,55,False
457,THE RIDGELAND CORP,7330 S RIDGELAND AVE  BLDG,Corner store / food mart,SOUTH SHORE,11.3,11.3,1.0,8,1.49,26.8,55,False
458,MOBIL MART,3601 W GRAND AVE 1ST,Corner store / food mart,HUMBOLDT PARK,11.2,11.2,1.0,7,1.22,34.9,85,False
459,TACO EL JALICIENSE,2859 W CHICAGO AVE,Corner store / food mart,HUMBOLDT PARK,11.2,11.2,1.0,7,0.6,34.9,85,False
460,LEVELZ MANAGEMENT,4024 W MADISON ST 1,Barbershop / salon,WEST GARFIELD PARK,11.2,18.7,0.6,29,0.2,24.7,92,False
461,REGGIE'S STO,4310 W 16TH ST,Corner store / food mart,NORTH LAWNDALE,11.1,11.1,1.0,7,0.84,31.5,87,False
462,SPARRER SAUSAGE CO,4325 W OGDEN AVE 1,Corner store / food mart,NORTH LAWNDALE,11.1,11.1,1.0,7,0.61,31.5,87,False
463,WILLIAMS INN,5701 S ASHLAND AVE,Corner store / food mart,WEST ENGLEWOOD,11.1,11.1,1.0,6,0.91,80.9,89,False
464,OLD FASHION MEAT MARKET,1457 S KOSTNER AVE 1ST,Corner store / food mart,NORTH LAWNDALE,11.1,11.1,1.0,7,0.71,31.5,87,False
465,THE SOUL FOOD LOUNGE,3804 W 16TH ST,Corner store / food mart,NORTH LAWNDALE,11.1,11.1,1.0,7,0.72,31.5,87,False
466,SUBWAY,800 N KEDZIE AVE LST 301,Corner store / food mart,HUMBOLDT PARK,11.0,11.0,1.0,23,0.14,34.9,85,False
467,CICERO FOOD MART,547 N CICERO AVE 1ST,Corner store / food mart,AUSTIN,11.0,11.0,1.0,7,0.49,50.4,73,False
468,BURGER KING #5495,6448 S KEDZIE AVE,Corner store / food mart,CHICAGO LAWN,11.0,11.0,1.0,7,0.7,34.7,80,False
469,BP,8642-8650 S MORGAN ST 1ST,Corner store / food mart,AUBURN GRESHAM,11.0,11.0,1.0,7,0.88,39.4,74,False
470,AFC Sushi @ Jewel Osco #3082,6014 S COTTAGE GROVE AVE,Corner store / food mart,WOODLAWN,11.0,11.0,1.0,8,0.59,17.2,58,False
471,OSCO DRUG STORE #2465,7858 S HALSTED ST,Corner store / food mart,AUBURN GRESHAM,11.0,11.0,1.0,7,1.12,39.4,74,False
472,GREAT STEAK & POTATO CO.,7901 S DAMEN AVE,Corner store / food mart,AUBURN GRESHAM,11.0,11.0,1.0,7,1.74,39.4,74,False
473,MARQUETTE GROCERY STORE,2824 W MARQUETTE RD,Corner store / food mart,CHICAGO LAWN,11.0,11.0,1.0,7,1.35,34.7,80,False
474,NEILS FOOD INC,7757 S HALSTED ST,Corner store / food mart,AUBURN GRESHAM,11.0,11.0,1.0,7,1.02,39.4,74,False
475,MCDONALD'S,6515 S WESTERN AVE,Corner store / food mart,CHICAGO LAWN,11.0,11.0,1.0,7,1.32,34.7,80,False
476,ASI ES GUERRERO,4114 W NORTH AVE,Corner store / food mart,HUMBOLDT PARK,10.9,10.9,1.0,9,0.38,34.9,85,False
477,DOLLAR TREE #07661,3146 W MADISON ST 1ST,Corner store / food mart,EAST GARFIELD PARK,10.9,7.2,1.5,16,0.13,18.6,83,True
478,"N & M FOOD MART, INC.",5914 W NORTH AVE 1ST,Corner store / food mart,AUSTIN,10.8,10.8,1.0,9,0.37,50.4,73,False
479,D'S HOUSE,1708 W 63RD ST 1 1,Corner store / food mart,WEST ENGLEWOOD,10.8,7.2,1.5,13,0.12,80.9,89,True
480,FLAMING FRANK'S MUSIC & VARIETY,10846 S MICHIGAN AVE # 1ST,Corner store / food mart,ROSELAND,10.8,10.8,1.0,10,0.36,48.9,52,False
481,Kutten Up Inc.,5457 W CHICAGO AVE,Barbershop / salon,AUSTIN,10.7,17.8,0.6,11,0.68,50.4,73,False
482,CITY PRESS JUICE & BOTTLE,3026 W CARROLL AVE,Corner store / food mart,EAST GARFIELD PARK,10.6,10.6,1.0,7,0.81,18.6,83,False
483,Citgo Fuel & Mini-Mart,126-132 E 75TH ST 1ST,Gas / filling station,GREATER GRAND CROSSING,10.5,10.5,1.0,7,0.97,35.0,66,False
484,HAL SYLVERS,330 W 71ST ST,Corner store / food mart,GREATER GRAND CROSSING,10.5,10.5,1.0,7,1.38,35.0,66,False
485,BIG SAMS MINI MART,10658 S STATE ST 1,Corner store / food mart,ROSELAND,10.5,10.5,1.0,7,0.77,48.9,52,False
486,FRIENDLY FOOD MARKET,7122 S VINCENNES AVE 1 G,Corner store / food mart,GREATER GRAND CROSSING,10.5,10.5,1.0,7,1.47,35.0,66,False
487,UNCLE JOHN'S BAR-B-QUE,337 E 69TH ST,Corner store / food mart,GREATER GRAND CROSSING,10.5,10.5,1.0,7,1.48,35.0,66,False
488,REGGIE'S DOG HOUSE,11052 S COTTAGE GROVE AVE 1ST,Corner store / food mart,ROSELAND,10.5,10.5,1.0,7,0.68,48.9,52,False
489,HAROLD'S CHICKEN SHACK #2,6419 S COTTAGE GROVE AVE,Corner store / food mart,WOODLAWN,10.5,7.0,1.5,10,0.26,17.2,58,True
490,"FOOD EXPRESS,INC.",10659 S WENTWORTH AVE,Corner store / food mart,ROSELAND,10.5,10.5,1.0,7,1.03,48.9,52,False
491,M & H FOOD MART 1,1325 N CENTRAL AVE,Tobacco / vape,AUSTIN,10.2,14.6,0.7,9,0.6,50.4,73,False
492,CARRIBEAN COVE RESTAURANT,8020 S DR MARTIN LUTHER KING JR DR 1 FRONT,Corner store / food mart,CHATHAM,10.1,10.1,1.0,14,0.26,20.3,60,False
493,CELIS NUTRITION,3344 W 63RD ST,Corner store / food mart,CHICAGO LAWN,10.0,10.0,1.0,7,0.45,34.7,80,False
494,GOOSE ISLAND BEER COMPANY,603 N SACRAMENTO BLVD 1ST,Corner store / food mart,HUMBOLDT PARK,9.9,9.9,1.0,7,0.44,34.9,85,False
495,LAKESIDE COMMISSARY,7337 S SOUTH SHORE DR,Corner store / food mart,SOUTH SHORE,9.9,9.9,1.0,10,0.35,26.8,55,False
496,WALGREENS #2210,11040 S MICHIGAN AVE,Corner store / food mart,ROSELAND,9.9,9.9,1.0,11,0.3,48.9,52,False
497,HAROLD'S CHICKEN SHACK #87,7348 S STONY ISLAND AVE,Corner store / food mart,SOUTH SHORE,9.9,9.9,1.0,7,1.17,26.8,55,False
498,EVANS FOOD MART,726 E 63RD ST 1ST,Corner store / food mart,WOODLAWN,9.9,6.6,1.5,16,0.05,17.2,58,True
499,HERMITAGE  MINI MART INC.,6501 S HERMITAGE AVE 1ST,Corner store / food mart,WEST ENGLEWOOD,9.9,9.9,1.0,7,0.38,80.9,89,False
500,SUNRISE FOOD MART,6900 S STONY ISLAND AVE 1ST,Corner store / food mart,SOUTH SHORE,9.9,9.9,1.0,7,1.4,26.8,55,False
501,DANIA FOOD MART INC.,1400 N KILDARE AVE,Corner store / food mart,HUMBOLDT PARK,9.8,9.8,1.0,7,0.44,34.9,85,False
502,VAN-CENTRAL FOOD & LIQUOR,5575 W VAN BUREN ST,Corner store / food mart,AUSTIN,9.7,9.7,1.0,6,1.61,50.4,73,False
503,KENTUCKY FRIED CHICKEN,6034 W NORTH AVE,Corner store / food mart,AUSTIN,9.7,9.7,1.0,6,0.64,50.4,73,False
504,PEPE'S,4743 W GRAND AVE,Corner store / food mart,AUSTIN,9.7,9.7,1.0,6,0.98,50.4,73,False
